id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,prequel,related,genre1,genre2,genre3,genre4,genre5,picture,main_genre,main_anime,best_anime
9756,2011-01-07,8.37,1296014,white,tv,12,pg_13,Puella Magi Madoka Magica,False,10519 11977 11979 11981 32153 35300 38256 53932 54209,Award Winning,Drama,Fantasy,Mahou Shoujo,Psychological,https://cdn.myanimelist.net/images/anime/11/55225l.webp,Drama,5081,17074
35507,2017-07-12,7.86,1284240,white,tv,12,pg_13,Classroom of the Elite,False,30813 51096,Drama,Psychological,School,Suspense,,https://cdn.myanimelist.net/images/anime/5/86830l.jpg,Drama,35507,51096
164,1997-07-12,8.66,1263716,white,movie,1,pg_13,Princess Mononoke,False,,Action,Adventure,Award Winning,Fantasy,,https://cdn.myanimelist.net/images/anime/7/75919l.webp,Action,164,164
42249,2021-04-11,7.92,1261423,white,tv,24,r,Tokyo Revengers,False,48735 50608 57751 59091,Action,Delinquents,Drama,Shounen,Supernatural,https://cdn.myanimelist.net/images/anime/1839/122012l.webp,Action,42249,42249
7054,2010-04-02,8.0,1255040,white,tv,26,pg_13,Maid Sama!,False,9366 10298,Comedy,Romance,School,Shoujo,,https://cdn.myanimelist.net/images/anime/6/25254l.jpg,Comedy,7054,7054
13759,2012-10-09,8.06,1251587,white,tv,24,pg_13,The Pet Girl of Sakurasou,False,,Drama,Romance,School,Visual Arts,,https://cdn.myanimelist.net/images/anime/4/43643l.jpg,Drama,13759,13759
205,2004-05-20,8.51,1246124,white,tv,26,r,Samurai Champloo,False,,Action,Adventure,Comedy,Historical,Samurai,https://cdn.myanimelist.net/images/anime/1370/135212l.webp,Action,205,205
6880,2011-04-17,7.14,1243899,white,tv,12,r,Deadman Wonderland,False,10418,Action,Gore,High Stakes Game,Horror,Sci-Fi,https://cdn.myanimelist.net/images/anime/9/75299l.webp,Action,6880,6880
33206,2017-01-12,7.94,1239802,white,tv,13,pg_13,Miss Kobayashi's Dragon Maid,False,35145 35363,Fantasy,Slice of Life,,,,https://cdn.myanimelist.net/images/anime/5/85434l.jpg,Slice of Life,33206,33206
37520,2019-01-07,8.25,1233570,white,tv,24,r,Dororo,False,5760 11471 39257 39989,Action,Adventure,Fantasy,Historical,Mythology,https://cdn.myanimelist.net/images/anime/1879/100467l.webp,Action,37520,37520
813,1989-04-26,8.18,1232487,white,tv,291,pg_13,Dragon Ball Z,True,223 225 894 895 896 897 898 899 900 901 902 903 904 905 906 984 985 986 5152 6033 6714 10017 12231 14837 22699 22777 23933 23935 25389 30694 37885 48617 52282 56894,Action,Adventure,Comedy,Fantasy,Martial Arts,https://cdn.myanimelist.net/images/anime/1277/142022l.jpg,Action,813,813
20899,2014-04-05,8.1,1226506,white,tv,24,r,JoJo's Bizarre Adventure: Stardust Crusaders,True,665 14719 26055,Action,Adventure,Shounen,Supernatural,,https://cdn.myanimelist.net/images/anime/11/55267l.webp,Action,14719,37991
10793,2011-10-14,7.41,1218070,white,tv,22,r,Guilty Crown,True,12419 13411 13561 17949,Action,Drama,Mecha,Romantic Subtext,Sci-Fi,https://cdn.myanimelist.net/images/anime/1566/133912l.jpg,Action,10793,10793
11771,2012-04-08,8.05,1211694,white,tv,25,pg_13,Kuroko's Basketball,True,15487 16894 16916 17259 19669 32869 55374 58925,School,Shounen,Sports,Team Sports,,https://cdn.myanimelist.net/images/anime/11/50453l.webp,Sports,11771,24415
